Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Month Number
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Knox Ware,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,November,11
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Phoebe Riley,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.9399999999999,3,0.0,219.58199999999997,2016,November,11
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Lareina Ballard,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8713999999999995,2016,June,6
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Quinlan Pruitt,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.03100000000006,2015,October,10
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Basil Mathews,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368000000000002,2,0.2,2.516399999999999,2015,October,10
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Ima Smith,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.169399999999996,2014,June,6
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Jescie Walters,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656000000000002,2014,June,6
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Imani Crosby,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.71520000000004,2014,June,6
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Neville Salas,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,June,6
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Galvin Patton,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.46999999999999,2014,June,6
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Tanya Mathews,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.1840000000002,9,0.2,85.3091999999998,2014,June,6
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Hilary Key,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.35680000000002,2014,June,6
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Haviva Lee,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552000000000003,3,0.2,5.4432,2017,April,4
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Ethan Roy,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.97600000000006,3,0.2,132.59219999999993,2016,December,12
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Marcia Tran,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.80999999999999,5,0.8,-123.858,2015,November,11
